Neighbourhood,Latitude,Longitude
Lagoa,-22.972673238547483,-43.217357490902295
Lagoa,-22.966509261087353,-43.2124222265971
Itanhangá,-22.98591152294974,-43.30821593864873
Itanhangá,-22.98349191999593,-43.32632942615828
Gávea,-22.975921322004393,-43.23033672778702
Gávea,-22.979043603301662,-43.23449931019163
Gávea,-22.983626675408058,-43.23853335259406
Barra da Tijuca,-22.99307587986864,-43.385986622854105
Barra da Tijuca,-23.003183687686157,-43.40669383503324
Barra da Tijuca,-23.000354853623072,-43.340257602269894
Barra da Tijuca,-23.010452016326916,-43.310220144757515
Barra da Tijuca,-23.004842797191202,-43.32257976464779
Leblon,-22.982286551684616,-43.22012441917235
Leblon,-22.983282251684145,-43.22603454422008
Leblon,-22.985200517492032,-43.22910717890403
Ipanema,-22.983460705346396,-43.201992208855216
Ipanema,-22.983487306056944,-43.20891327160841
Ipanema,-22.986173865018944,-43.195223277499764
São Conrado,-22.991699272554683,-43.27012987671909
São Conrado,-22.995652899794802,-43.25535194421548
Rocinha,-22.987178845586584,-43.25260247103304
Rocinha,-22.989807773929115,-43.24830813797371
Rocinha,-22.989985836335823,-43.24587120033258
Pedra de Guaratiba,-22.998323225156568,-43.635028678169775
Pedra de Guaratiba,-22.996548925229497,-43.64386531697613
Recreio dos Bandeirantes,-23.01169032251267,-43.471635740792436
Recreio dos Bandeirantes,-23.006689072706695,-43.4489911872743
Recreio dos Bandeirantes,-23.026675514898624,-43.49259317522121
Vidigal,-22.994342253364437,-43.23895876686745
Vidigal,-22.99584103885341,-43.24239272016807
Caju,-22.881423842961382,-43.22079539900629
Caju,-22.87847779834351,-43.21377755634961
Caju,-22.878784005085606,-43.23073321902863
Deodoro,-22.84467995165768,-43.388719988787855
Deodoro,-22.851480753393417,-43.38639327406898
Deodoro,-22.861393951015632,-43.383316289580264
Lapa,-22.912383915542062,-43.18310922652135
Lapa,-22.912905103141387,-43.18108675242992
Lapa,-22.914735893109544,-43.17774480876718
Lapa,-22.911593325683764,-43.18491167104994
Lapa,-22.9160180989901,-43.17747658803219
Campo Grande,-22.870903421681263,-43.56875242658805
Campo Grande,-22.922847125122306,-43.548618773408826
Campo Grande,-22.84566978691956,-43.54879043482988
Campo Grande,-22.89825952027389,-43.56098912082493
Campo Grande,-22.915495029082276,-43.51565979052871
Jabour,-22.88099236982961,-43.49335601797089
Vila Kennedy,-22.8571572710922,-43.4909865721177
Vila Kennedy,-22.856524542197477,-43.48386262534016
